receipt_id,item_id,barcode,userFlaggedBarcode,finalPrice,itemPrice,quantityPurchased
5ff1e1eb0a720f0523000575,0,4011,4011,26.00,26.00,5.0
5ff1e1bb0a720f052300056b,1,4011,,1,1,1.0
5ff1e1bb0a720f052300056b,2,028400642255,028400642255,10.00,10.00,1.0
5ff1e1f10a720f052300057a,3,,4011,,,
5ff1e1ee0a7214ada100056f,4,4011,4011,28.00,28.00,4.0
5ff1e1d20a7214ada1000561,5,4011,,1,1,1.0
5ff1e1d20a7214ada1000561,6,1234,1234,2.56,2.56,3.0
5ff1e1e40a7214ada1000566,7,4011,4011,3.25,3.25,1.0
5ff1e1cd0a720f052300056f,8,,,2.23,2.23,1.0
5ff1e1a40a720f0523000569,9,046000832517,,10.00,10.00,1.0
5ff1e1ed0a7214ada100056e,10,4011,4011,20.00,20.00,5.0
5ff1e1eb0a7214ada100056b,11,4011,4011,20.00,20.00,3.0
5ff1e1c50a720f052300056c,12,4011,,1,1,1.0
5ff1e1a10a720f0523000568,13,013562300631,,50.00,50.00,5.0
5ff1e1b60a7214ada100055c,14,034100573065,,29,29,1.0
5ff1e1b60a7214ada100055c,15,034100573065,,29,29,1.0
5ff1e1b60a7214ada100055c,16,034100573065,,29,29,1.0
5ff1e1b60a7214ada100055c,17,034100573065,,29,29,1.0
5ff1e1b60a7214ada100055c,18,034100573065,,29,29,1.0
5ff1e1b60a7214ada100055c,19,034100573065,,29,29,1.0
5ff1e1b60a7214ada100055c,20,034100573065,,29,29,1.0
5ff1e1b60a7214ada100055c,21,034100573065,,29,29,1.0
5ff1e1b60a7214ada100055c,22,034100573065,,29,29,1.0
5ff1e1b60a7214ada100055c,23,034100573065,,29,29,1.0
5f9c74f70a7214ad07000037,24,075925306254,,1,1,1.0
5f9c74f70a7214ad07000037,25,,034100573065,,,
5f9c74f70a7214ad07000037,26,,034100573065,,,
5f9c74f70a7214ad07000037,27,,034100573065,,,
5f9c74f70a7214ad07000037,28,,034100573065,,,
5f9c74f70a7214ad07000037,29,,034100573065,,,
5f9c74f70a7214ad07000037,30,,034100573065,,,
5f9c74f70a7214ad07000037,31,,034100573065,,,
5f9c74f70a7214ad07000037,32,,034100573065,,,
5f9c74f70a7214ad07000037,33,,034100573065,,,
5f9c74f70a7214ad07000037,34,,034100573065,,,
5ff1e1b20a7214ada100055a,35,4011,,1,1,1.0
5ff1e1e90a7214ada1000569,36,,4011,,,
5ff1e1e90a7214ada1000569,37,,034100573065,,,
5ff1e1df0a7214ada1000564,38,4011,,1,1,1.0
5ff1e1df0a7214ada1000564,39,028400642255,028400642255,10.00,10.00,1.0
5ff1e1b40a7214ada100055b,40,075925306254,,1,1,1.0
5ff1e1b40a7214ada100055b,41,,034100573065,,,
5ff1e1b40a7214ada100055b,42,,034100573065,,,
5ff1e1b40a7214ada100055b,43,,034100573065,,,
5ff1e1b40a7214ada100055b,44,,034100573065,,,
5ff1e1b40a7214ada100055b,45,,034100573065,,,
5ff1e1b40a7214ada100055b,46,,034100573065,,,
5ff1e1b40a7214ada100055b,47,,034100573065,,,
5ff1e1b40a7214ada100055b,48,,034100573065,,,
5ff1e1b40a7214ada100055b,49,,034100573065,,,
5ff1e1b40a7214ada100055b,50,,034100573065,,,
5ff1e1eb0a720f0523000576,51,4011,4011,26.00,26.00,2.0
5ff1e1c80a720f052300056d,52,4011,,1,1,1.0
5ff1e1c80a720f052300056d,53,1234,1234,,,
5f9c74f90a7214ad07000038,54,075925306254,,1,1,1.0
5f9c74f90a7214ad07000038,55,075925306254,075925306254,10.00,10.00,2.0
5f9c74f90a7214ad07000038,56,034100573065,034100573065,1.00,1.00,1.0
5f9c74f90a7214ad07000038,57,034100573065,034100573065,1.00,1.00,1.0
5f9c74f90a7214ad07000038,58,034100573065,034100573065,1.00,1.00,1.0
5ff1e1960a720f0523000567,59,4011,,1,1,1.0
5ff1e1ec0a7214ada100056c,60,4011,4011,21.00,21.00,2.0
5ff1e1d70a720f0523000571,61,041000168468,,1,1,1.0
5ff1e1d70a720f0523000571,62,2700719497082,,1,1,1.0
5ff1e1c60a7214ada100055e,63,4011,,1,1,1.0
5ff1e1c60a7214ada100055e,64,1234,1234,,,
5ff1e1ee0a7214ada1000570,65,4011,4011,27.00,27.00,5.0
5ff1e1cf0a720f0523000570,66,4011,,1,1,1.0
5ff1e1cf0a720f0523000570,67,1234,1234,,,
5ff1e1e10a720f0523000572,68,079400066619,079400066619,1,1,1.0
5ff1e1d40a7214ada1000562,69,,,1,1,1.0
5ff1e1d40a7214ada1000562,70,051500720011,,2,2,2.0
